event,user_id,timestamp,time_taken_in_ms,auto_completed,auto_completion_count,wpm,numBksp
key_press,1,2021-05-17 20:29:41.780299,116,False,3,,0
key_press,1,2021-05-17 20:29:41.952458,169,False,3,,0
key_press,1,2021-05-17 20:29:43.127302,1172,False,3,,0
sentence,1,2021-05-17 20:29:43.368295,8049,True,4,52.18039508013418,0
key_press,1,2021-05-17 20:29:44.179446,808,False,0,,0
key_press,1,2021-05-17 20:29:44.345453,163,False,0,,0
key_press,1,2021-05-17 20:29:44.488392,140,False,0,,0
key_press,1,2021-05-17 20:29:44.557429,66,False,0,,0
word,1,2021-05-17 20:29:44.560430,1189,False,0,,0
key_press,1,2021-05-17 20:29:44.691376,131,False,0,,0
key_press,1,2021-05-17 20:29:44.764599,70,False,0,,0
key_press,1,2021-05-17 20:29:44.879465,112,False,0,,0
key_press,1,2021-05-17 20:29:45.082344,200,False,0,,0
key_press,1,2021-05-17 20:29:45.153955,68,False,0,,0
key_press,1,2021-05-17 20:29:45.217970,62,False,0,,0
word,1,2021-05-17 20:29:45.219970,657,False,0,,0
key_press,1,2021-05-17 20:29:45.379332,160,False,0,,0
key_press,1,2021-05-17 20:29:45.420342,38,False,0,,0
key_press,1,2021-05-17 20:29:45.540394,117,False,0,,0
key_press,1,2021-05-17 20:29:45.614376,71,False,0,,0
key_press,1,2021-05-17 20:29:45.647444,30,False,0,,0
word,1,2021-05-17 20:29:45.650207,428,False,0,,0
key_press,1,2021-05-17 20:29:45.806299,156,False,0,,0
key_press,1,2021-05-17 20:29:45.880307,71,False,0,,0
key_press,1,2021-05-17 20:29:46.060298,177,False,0,,0
key_press,1,2021-05-17 20:29:46.155383,91,False,0,,0
key_press,1,2021-05-17 20:29:46.285441,127,False,0,,0
word,1,2021-05-17 20:29:46.288441,635,False,0,,0
key_press,1,2021-05-17 20:29:46.420292,132,False,0,,0
key_press,1,2021-05-17 20:29:46.534457,111,False,0,,0
key_press,1,2021-05-17 20:29:46.830321,293,False,0,,0
key_press,1,2021-05-17 20:29:47.075375,242,False,0,,0
key_press,1,2021-05-17 20:29:47.206453,128,False,0,,0
key_press,1,2021-05-17 20:29:47.401376,192,False,1,,0
word,1,2021-05-17 20:29:47.404377,1114,True,1,,0
key_press,1,2021-05-17 20:29:47.625444,221,False,1,,0
key_press,1,2021-05-17 20:29:47.753376,125,False,1,,0
