event,user_id,timestamp,time_taken_in_ms,wpm,numBksp
key_press,2,2021-05-17 20:38:19.481373,151,0,0
key_press,2,2021-05-17 20:38:19.586522,97,0,0
key_press,2,2021-05-17 20:38:19.797837,205,0,0
key_press,2,2021-05-17 20:38:20.135749,332,0,0
key_press,2,2021-05-17 20:38:20.591869,450,0,0
key_press,2,2021-05-17 20:38:20.903011,305,0,0
key_press,2,2021-05-17 20:38:21.091617,183,0,0
key_press,2,2021-05-17 20:38:21.413250,316,0,0
key_press,2,2021-05-17 20:38:21.578054,159,0,0
key_press,2,2021-05-17 20:38:21.945256,361,0,0
word,2,2021-05-17 20:38:21.950968,2620,0,0
key_press,2,2021-05-17 20:38:22.201051,251,0,0
key_press,2,2021-05-17 20:38:22.356875,149,0,0
key_press,2,2021-05-17 20:38:22.487008,125,0,0
key_press,2,2021-05-17 20:38:22.599370,107,0,0
key_press,2,2021-05-17 20:38:22.758104,153,0,0
key_press,2,2021-05-17 20:38:22.918458,155,0,0
key_press,2,2021-05-17 20:38:23.127867,203,0,0
key_press,2,2021-05-17 20:38:23.336332,203,0,0
key_press,2,2021-05-17 20:38:23.498342,156,0,0
key_press,2,2021-05-17 20:38:23.690932,186,0,0
word,2,2021-05-17 20:38:23.696757,1740,0,0
key_press,2,2021-05-17 20:38:23.862083,166,0,0
key_press,2,2021-05-17 20:38:24.098051,230,0,0
key_press,2,2021-05-17 20:38:24.347287,244,0,0
key_press,2,2021-05-17 20:38:24.586196,234,0,0
key_press,2,2021-05-17 20:38:24.710215,119,0,0
word,2,2021-05-17 20:38:24.716648,1014,0,0
key_press,2,2021-05-17 20:38:24.877450,161,0,0
key_press,2,2021-05-17 20:38:25.067430,184,0,0
key_press,2,2021-05-17 20:38:25.169729,96,0,0
key_press,2,2021-05-17 20:38:25.320124,144,0,0
word,2,2021-05-17 20:38:25.326159,605,0,0
key_press,2,2021-05-17 20:38:25.477550,151,0,0
key_press,2,2021-05-17 20:38:25.697167,214,0,0
key_press,2,2021-05-17 20:38:25.814692,111,0,0
key_press,2,2021-05-17 20:38:25.952863,131,0,0
key_press,2,2021-05-17 20:38:26.045869,87,0,0
key_press,2,2021-05-17 20:38:26.139217,87,0,0
word,2,2021-05-17 20:38:26.145093,814,0,0
key_press,2,2021-05-17 20:38:26.312086,167,0,0
key_press,2,2021-05-17 20:38:26.460215,142,0,0
key_press,2,2021-05-17 20:38:26.615362,148,0,0
key_press,2,2021-05-17 20:38:26.742305,122,0,0
word,2,2021-05-17 20:38:26.748978,598,0,0
key_press,2,2021-05-17 20:38:26.946174,198,0,0
key_press,2,2021-05-17 20:38:27.076696,124,0,0
key_press,2,2021-05-17 20:38:27.194010,111,0,0
key_press,2,2021-05-17 20:38:27.453851,254,0,0
key_press,2,2021-05-17 20:38:27.597827,138,0,0
key_press,2,2021-05-17 20:38:27.790189,187,0,0
key_press,2,2021-05-17 20:38:27.980385,184,0,0
key_press,2,2021-05-17 20:38:28.155635,169,0,0
key_press,2,2021-05-17 20:38:28.288321,127,0,0
key_press,2,2021-05-17 20:38:28.417161,124,0,0
key_press,2,2021-05-17 20:38:28.588740,166,0,0
key_press,2,2021-05-17 20:38:28.742867,148,0,0
key_press,2,2021-05-17 20:38:28.878454,129,0,0
word,2,2021-05-17 20:38:28.884677,2130,0,0
key_press,2,2021-05-17 20:38:29.076264,192,0,0
key_press,2,2021-05-17 20:38:29.477795,395,0,0
key_press,2,2021-05-17 20:38:29.683281,200,0,0
key_press,2,2021-05-17 20:38:29.859366,171,0,0
key_press,2,2021-05-17 20:38:30.101121,236,0,0
sentence,2,2021-05-17 20:38:30.527417,11197,37.5100473341074,0
