13163
23440
27235
67640
event,user_id,timestamp,time_taken_in_ms,auto_completed,auto_completion_count,wpm,numBksp
key_press,2,2021-05-17 20:34:38.151463,173,False,0,,0
key_press,2,2021-05-17 20:34:38.264441,105,False,0,,0
key_press,2,2021-05-17 20:34:38.430993,158,False,0,,0
key_press,2,2021-05-17 20:34:38.979635,537,False,0,,0
key_press,2,2021-05-17 20:34:39.668597,681,False,1,,0
word,2,2021-05-17 20:34:39.684826,1706,True,1,,0
key_press,2,2021-05-17 20:34:40.201294,517,False,1,,0
key_press,2,2021-05-17 20:34:40.424476,215,False,1,,0
key_press,2,2021-05-17 20:34:40.574751,142,False,1,,0
key_press,2,2021-05-17 20:34:40.704549,122,False,1,,0
key_press,2,2021-05-17 20:34:41.046421,334,False,1,,0
key_press,2,2021-05-17 20:34:42.221967,1164,False,2,,0
word,2,2021-05-17 20:34:42.230737,2536,True,2,,0
key_press,2,2021-05-17 20:34:42.434505,204,False,2,,0
key_press,2,2021-05-17 20:34:42.620776,178,False,2,,0
key_press,2,2021-05-17 20:34:42.950649,321,False,2,,0
key_press,2,2021-05-17 20:34:43.209105,251,False,2,,0
key_press,2,2021-05-17 20:34:43.990906,772,False,2,,0
word,2,2021-05-17 20:34:43.999664,1761,True,2,,0
key_press,2,2021-05-17 20:34:44.410030,411,False,2,,0
key_press,2,2021-05-17 20:34:44.592573,174,False,2,,0
key_press,2,2021-05-17 20:34:44.774553,174,False,2,,0
key_press,2,2021-05-17 20:34:45.290556,508,False,2,,0
word,2,2021-05-17 20:34:45.298583,1291,True,2,,0
key_press,2,2021-05-17 20:34:45.585581,287,False,2,,0
key_press,2,2021-05-17 20:34:45.797832,204,False,2,,0
key_press,2,2021-05-17 20:34:45.938666,132,False,2,,0
key_press,2,2021-05-17 20:34:46.337115,389,False,2,,0
key_press,2,2021-05-17 20:34:47.018402,672,False,3,,0
word,2,2021-05-17 20:34:47.026698,1720,True,3,,0
key_press,2,2021-05-17 20:34:47.307551,281,False,3,,0
key_press,2,2021-05-17 20:34:47.439413,123,False,3,,0
key_press,2,2021-05-17 20:34:47.547236,100,False,3,,0
key_press,2,2021-05-17 20:34:47.699788,143,False,3,,0
word,2,2021-05-17 20:34:47.708199,674,True,3,,0
key_press,2,2021-05-17 20:34:48.085713,377,False,3,,0
key_press,2,2021-05-17 20:34:48.174299,81,False,3,,0
key_press,2,2021-05-17 20:34:48.295232,113,False,3,,0
key_press,2,2021-05-17 20:34:48.518797,215,False,3,,0
key_press,2,2021-05-17 20:34:48.768627,241,False,3,,0
key_press,2,2021-05-17 20:34:49.368735,592,False,4,,0
word,2,2021-05-17 20:34:49.377861,1662,True,4,,0
key_press,2,2021-05-17 20:34:49.585215,208,False,4,,0
key_press,2,2021-05-17 20:34:49.731349,135,False,4,,0
key_press,2,2021-05-17 20:34:49.996912,257,False,4,,0
key_press,2,2021-05-17 20:34:50.817778,812,False,4,,0
sentence,2,2021-05-17 20:34:51.140144,13163,True,5,31.90761984350072,0
key_press,2,2021-05-17 20:34:52.105228,956,False,0,,0
key_press,2,2021-05-17 20:34:52.314583,201,False,0,,0
key_press,2,2021-05-17 20:34:52.504690,182,False,0,,0
key_press,2,2021-05-17 20:34:52.640963,128,False,0,,0
word,2,2021-05-17 20:34:52.649876,1500,False,0,,0
key_press,2,2021-05-17 20:34:52.789121,140,False,0,,0
key_press,2,2021-05-17 20:34:52.910379,113,False,0,,0
key_press,2,2021-05-17 20:34:53.044689,125,False,0,,0
key_press,2,2021-05-17 20:34:53.256056,204,False,0,,0
key_press,2,2021-05-17 20:34:53.557349,293,False,0,,0
key_press,2,2021-05-17 20:34:53.888434,322,False,1,,0
word,2,2021-05-17 20:34:53.896472,1237,True,1,,0
key_press,2,2021-05-17 20:34:54.160574,264,False,1,,0
key_press,2,2021-05-17 20:34:54.285153,116,False,1,,0
key_press,2,2021-05-17 20:34:54.485314,192,False,1,,0
key_press,2,2021-05-17 20:34:54.761445,269,False,1,,0
key_press,2,2021-05-17 20:34:55.083027,313,False,1,,0
word,2,2021-05-17 20:34:55.091170,1187,True,1,,0
key_press,2,2021-05-17 20:34:55.280936,189,False,1,,0
key_press,2,2021-05-17 20:34:55.392213,103,False,1,,0
